56165,RibesUva-crispa,Groseillier,Ribes,Groseillier à maquereaux
56245,RobiniaPseudoacacia,Robinier,Robinia,Robinier faux-acacia
56523,RosaArvensis,Rosier,Rosa,Rosier rampant
56619,RosaCanina,Eglantier,Rosa,Eglantier des chiens
,RosaPimpinellifolia,,,
57436,RosaRubiginosa,Eglantier,Rosa,Eglantier rubigineux
57520,RosaSempervirens,Rosier,Rosa,Rosier sempervirent
57585,RosaSpinosissima,Rosier,Rosa,Rosier pimprenelle
57975,RubusCaesius,Ronce,Rubus,Ronce bleue
58089,RubusFruticosus,Ronce,Rubus,Ronce frutescente
58196,RubusIdaeus,Framboisier,Rubus,Framboisier cultivé
58514,RubusUlmifolius,Ronce,Rubus,Ronce rustique
58960,RuscusAculeatus,Fragon,Ruscus,Fragon petit-houx
59255,SalixAlba,Saule,Salix,Saule blanc
59317,SalixAtrocinerea,Saule,Salix,Saule roux
59323,SalixAurita,Saule,Salix,Saule à oreillettes
59332,SalixBabylonica,Saule,Salix,Saule pleureur
59380,SalixCaprea,Saule,Salix,Saule Marsault
59408,SalixCinerea,Saule,Salix,Saule cendré
59480,SalixElaeagnos,Saule,Salix,Saule drapé
59513,SalixFragilis,Saule,Salix,Saule fragile
59837,SalixPurpurea,Saule,Salix,Saule pourpre
60004,SalixTriandra,Saule,Salix,Saule à trois étamines
60033,SalixViminalis,Saule,Salix,Saule osier
60241,SambucusNigra,Sureau,Sambucus,Sureau noir
75811,SambucusRacemosa,Sureau,Sambucus,Sureau à grappes
65242,SophoraJaponica,Sophora,Sophora,Sophora du Japon
75389,SorbusAria,Alisier,Sorbus,Alisier blanc
65277,SorbusAucuparia,Sorbier,Sorbus,Sorbier des oiseleurs
65300,SorbusDomestica,Cormier,Sorbus,Cormier domestique
65309,SorbusIntermedia,Alisier,Sorbus,Alisier de Suède
65311,SorbusLatifolia,Alisier,Sorbus,Alisier de Fontainebleau
65340,SorbusTorminalis,Alisier,Sorbus,Alisier torminal
65481,SpartiumJunceum,Genêt,Spartium,Genêt spartier
66503,StyraxOfficinalis,Aliboufier,Styrax,Aliboufier officinal
66663,SyringaVulgaris,Lilas,Syringa,Lilas commun
68299,TiliaCordata,Tilleul,Tilia,Tilleul à feuilles cordées
77122,TiliaEuropaea,Tilleul,Tilia,'Tilleul d''Europe'
68332,TiliaPlatyphyllos,Tilleul,Tilia,Tilleul à grandes feuilles
68349,TiliaTomentosa,Tilleul,Tilia,Tilleul argenté
68304,TiliaxEuchlora,Tilleul,Tilia,Tilleul de Crimée
77973,TiliaxFlavescens,Tilleul,Tilia,Tilleul jaunâtre
68533,ToonaSinensis,Cédrèle,Toona,Cédrèle de Chine
70199,UlexEuropaeus,Ajonc,Ulex,'Ajonc d''Europe'
75496,UlmusGlabra,Orme,Ulmus,Orme de montagne
70292,UlmusLaevis,Orme,Ulmus,Orme lisse
70296,UlmusMinor,Orme,Ulmus,Orme champêtre
71453,ViburnumLantana,Viorne,Viburnum,Viorne Lantane
71459,ViburnumOpulus,Viorne,Viburnum,Viorne Obier
71463,ViburnumTinus,Viorne,Viburnum,Viorne Tin
72745,VitexAgnus-castus,Gatillier,Vitex,Gatillier commun
72795,VitisVinifera,Vigne,Vitis,Vigne commune
,XanthiumStrumarium,,,
80162,ZelkovaSerrata,Zelkova,Zelkova,Zelkova du Japon
78590,ZiziphusJujuba,Jujubier,Ziziphus,Jujubier commun
,ZiziphusZizyphus,,,
,,,,
,Acersp.,,,
,Aesculussp.,,,
,Fraxinussp.,,,
,Maluscv.,,,
,Morussp.,,,
,Populussp.,,,
,Prunuscv.,,,
,Quercussp.,,,
,Tiliasp.,,,
,Ulmuscv.,,,
,Ulmussp.,,,
